WHD - Agriculture  ,,,,,
,,Agriculture ,,,
Fiscal Year,Number of Investigations in Agriculture ,Employees Receiving Back Wages ,Back Wages,Civil Monetary Penalties Assessed,
FY 2000,"2,431","5,255","1,329,757.35","1,370,883.66",
FY 2001,"2,300","9,356","1,726,125.27","1,261,247.54",
FY 2002,"2,176","5,823","2,027,268.15","1,185,972.83",
FY 2003,"1,495","7,778","2,438,150.05","1,134,186.46",
FY 2004,"1,630","3,711","1,218,672.87","1,652,234.60",
FY 2005,"1,449","3,984","1,332,633.72","1,066,556.95",
FY 2006,"1,410","2,968","1,688,598.81","811,505.95",
FY 2007,"1,666","8,670","3,186,611.75","1,445,036.45",
FY 2008,"1,600","5,399","2,117,137.02","1,348,108.25",
FY 2009,"1,377","5,527","1,404,124.85","1,257,712.70",
FY 2010,"1,277","8,601","3,153,956.64","1,102,504.20",
FY 2011,"1,527","6,567","2,850,638.73","1,944,056.85",
FY 2012,"1,659","11,068","5,270,032.81","4,570,529.88",
FY 2013,"1,673","11,847","7,686,468.73","7,293,429.80",
FY 2014,"1,430","12,031","4,502,976.28","3,097,666.38",
FY 2015,"1,361","10,025","4,316,681.16","5,062,647.15",
FY 2016,"1,275","10,549","4,844,840.99","3,537,889.23",
,"27,736","129,159","51,094,675.18","39,142,168.88",
,,,,,
,H2A,,,,
,Case with Violations ,Employees Receiving Back Wages ,Back Wages,Civil Monetary Penalties Assessed,Total Violations under H-2A
FY 2000,68,307,"91,914.80","136,620.00","1,100"
FY 2001,102,"1,185","466,292.86","258,540.00","9,739"
FY 2002,121,"1,043","203,347.33","173,385.00","3,606"
FY 2003,76,937,"360,788.19","311,025.00","3,440"
FY 2004,79,560,"139,366.72","178,350.00","1,910"
FY 2005,73,947,"363,032.38","285,900.00","2,415"
FY 2006,86,265,"218,421.13","57,900.00","1,084"
FY 2007,95,"1,826","440,084.53","77,412.50","3,270"
FY 2008,114,"1,064","640,472.06","440,507.50","3,314"
FY 2009,117,"1,487","400,765.10","309,337.50","4,152"
FY 2010,100,954,"371,220.95","357,080.00","3,730"
FY 2011,170,"1,548","813,373.72","780,755.00","5,987"
FY 2012,216,"3,228","1,805,326.72","3,267,239.18","10,214"
FY 2013,232,"4,440","4,448,005.12","5,972,230.00","11,171"
FY 2014,173,"2,971","1,379,230.36","1,768,000.00","6,954"
FY 2015,207,"2,496","1,605,359.84","3,921,186.50","7,935"
