"Low Wage, High Violation Industries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FY2016,,,FY2015,,,FY2014,,,FY2013,,,FY2012,,,FY2011,,,FY2010,,,FY2009,,,FY2008,,,FY2007,,,FY2006,,,FY2005,,,FY2004,,,FY2003,,,FY2002,,,FY2001,,
,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees,Cases,Back Wages,Employees
Agriculture,"1,275","$4,844,841 ","10,549","1,361","$4,316,681 ","10,025","1,430","$4,502,976 ","12,031","1,672","$7,686,469 ","11,847","1,660","$5,270,033 ","11,068","1,527","$2,850,639 ","6,567","1,277","$3,153,957 ","8,601","1,377","$1,404,125 ","5,527","1,600","$2,117,137 ","5,399","1,666","$3,186,612 ","8,670","1,410","$1,688,599 ","2,968","1,449","$1,332,634 ","3,984","1,630","$1,218,673 ","3,711","1,495","$2,438,150 ","7,778","2,176","$2,027,268 ","5,823","2,300","$1,726,125 ","9,356"
Amusement,206,"$602,061 ",967,278,"$1,319,408 ","3,286",373,"$1,313,546 ","2,378",342,"$1,784,904 ","2,260",371,"$1,602,916 ","2,633",331,"$1,830,141 ","3,349",291,"$1,387,721 ","1,742",276,"$1,891,392 ","2,477",294,"$849,211 ","1,276",327,"$1,789,581 ","4,564",330,"$634,074 ","1,416",390,"$1,174,393 ","2,706",536,"$762,748 ","1,361",563,"$1,802,016 ","1,703",535,"$1,057,335 ","2,966",507,"$822,673 ","1,805"
Apparel Manufacturing,276,"$3,883,135 ","2,566",200,"$1,594,928 ","1,275",240,"$3,095,832 ","1,673",336,"$3,597,940 ","2,539",327,"$2,724,608 ","2,006",256,"$2,434,386 ","2,288",375,"$2,142,521 ","2,216",375,"$2,466,961 ","2,792",386,"$2,597,682 ","2,279",677,"$2,891,475 ","3,449",457,"$2,902,563 ","2,878",991,"$4,009,392 ","4,747",497,"$4,289,376 ","6,236",695,"$5,200,755 ","5,355",979,"$6,789,222 ","7,902","1,346","$4,863,382 ","5,276"
Auto Repair,516,"$4,265,193 ","4,650",499,"$3,089,062 ","4,867",452,"$4,614,729 ","5,422",465,"$5,268,483 ","3,560",522,"$3,228,999 ","4,444",530,"$2,721,483 ","2,540",422,"$1,944,837 ","2,158",348,"$2,780,389 ","3,717",375,"$2,116,069 ","2,216",460,"$3,737,196 ","4,148",465,"$2,002,676 ","2,570",437,"$1,415,686 ","2,129",500,"$1,915,169 ","2,863",550,"$1,638,680 ","2,755",560,"$1,291,671 ","2,456",507,"$1,362,041 ","2,108"
Child Care Services,812,"$1,640,980 ","3,944",852,"$1,642,924 ","3,992","1,144","$1,875,156 ","5,812","1,126","$2,192,423 ","5,694","1,198","$2,076,867 ","6,369","1,025","$2,235,672 ","5,837",684,"$1,018,255 ","3,028",714,"$1,074,842 ","3,310",746,"$1,058,579 ","3,070",708,"$1,177,582 ","3,183",912,"$1,302,282 ","4,459",812,"$1,032,330 ","3,607",752,"$936,307 ","3,323",700,"$896,272 ","3,023",681,"$1,131,958 ","3,089",768,"$974,673 ","3,877"
Construction,"3,120","$41,717,849 ","26,866","3,105","$42,307,735 ","27,858","3,244","$45,189,777 ","26,101","3,708","$44,691,541 ","25,056","4,186","$49,889,240 ","33,469","3,783","$39,428,956 ","32,115","2,723","$19,997,360 ","18,800","2,179","$18,670,783 ","20,377","2,705","$31,233,537 ","31,342","2,818","$24,760,160 ","29,479","3,066","$20,739,440 ","23,665","3,027","$16,333,502 ","17,165","3,223","$20,076,020 ","22,553","3,020","$18,686,619 ","18,548","3,017","$21,425,678 ","19,061","2,666","$14,462,594 ","14,419"
Food Services,"4,975","$39,754,569 ","44,707","4,787","$38,134,411 ","46,960","5,117","$34,445,625 ","44,148","6,058","$34,933,663 ","48,327","5,793","$34,804,607 ","55,736","5,160","$24,460,286 ","46,134","3,759","$16,415,519 ","23,042","3,818","$17,018,589 ","24,377","3,942","$18,972,494 ","23,563","4,448","$17,439,848 ","27,662","4,341","$16,874,979 ","29,076","4,842","$13,720,217 ","31,880","5,040","$11,566,155 ","23,979","5,043","$9,926,190 ","22,227","5,198","$9,489,467 ","26,243","4,913","$6,241,030 ","16,464"
Guard Services,559,"$5,229,747 ","12,667",498,"$4,736,297 ","6,810",476,"$5,872,785 ","6,775",643,"$12,923,237 ","8,736",597,"$27,067,948 ","10,687",631,"$6,979,518 ","9,587",565,"$11,751,811 ","10,631",563,"$7,623,120 ","10,093",633,"$13,595,350 ","13,138",725,"$7,544,059 ","11,581",664,"$10,684,509 ","10,670",717,"$5,975,363 ","9,231",803,"$5,868,110 ","9,998",840,"$8,333,437 ","14,149",939,"$4,687,623 ","8,076",860,"$5,741,925 ","7,056"
"Hair, Nail & Skin Care Services",224,"$562,096 ",502,164,"$2,332,502 ",521,136,"$229,045 ",335,151,"$240,857 ",513,159,"$254,096 ",337,171,"$427,103 ",437,147,"$261,020 ",396,132,"$301,446 ",646,121,"$223,093 ",316,129,"$250,121 ",441,128,"$152,677 ",408,146,"$177,464 ",514,145,"$147,080 ",502,166,"$150,767 ",505,129,"$124,575 ",347,96,"$113,426 ",301
